,Number of Stocks,2020 Performance,2019 Performance
0,5.0,0.5913979244173764,0.499258692054636
1,10.0,1.282731663062142,0.7061920206731177
2,20.0,0.36719654262381707,0.22844998786424353
3,30.0,1.3522849320835724,0.7513762783694213
4,40.0,0.2759251409227168,0.09950233299651647
5,50.0,1.133949897498205,0.6285608565805728
6,60.0,0.25916847971785917,0.05226003563274603
7,70.0,0.9739666651424103,0.5192844666693426
8,80.0,0.24412181862557544,0.048935874342558146
9,90.0,0.8190990377817142,0.4145365939661386
10,100.0,0.24158138928140782,0.047835533396091104
